Title,Category,Published Time,URL
BSW fordert Abschaffung der Zusatzbeiträge für Krankenkassen: Pläne sind nichts als „Utopien“,http://www.merkur.de/wirtschaft,21:12:00,https://www.merkur.de/wirtschaft/bsw-fordert-abschaffung-der-zusatzbeitraege-fuer-krankenkassen-zr-93510009.html
„Ich muss mich verstecken“: Jüdische Menschen in Deutschland haben Angst,https://www.merkur.de/,21:12:00,https://www.merkur.de/politik/ich-muss-mich-verstecken-juedische-menschen-in-deutschland-haben-angst-zr-93510007.html
Kommunen verschicken Grundsteuerbescheide: Was Eigentümer in Bayern jetzt wissen müssen,https://www.merkur.de/,21:21:00,https://www.merkur.de/bayern/neue-grundsteuer-in-bayern-was-eigentuemer-jetzt-wissen-muessen-93510011.html
tz,Wie Flüchtlinge der Feuerwehr helfen können,https://www.tz.de/welt/rssfeed.rdf,06:37:00,https://www.tz.de/welt/wie-fluechtlinge-der-feuerwehr-helfen-koennen-zr-93509409.html
tz,Stöbern statt Streamen: Videothek-Comeback bei der Gen Z?,https://www.tz.de/welt/rssfeed.rdf,05:05:00,https://www.tz.de/welt/stoebern-statt-streamen-videothek-comeback-bei-der-gen-zr-93509398.html
tz,„Ein Wunder“: Haus von Filmstar James Woods überlebt Brände,https://www.tz.de/welt/rssfeed.rdf,02:54:00,https://www.tz.de/welt/ein-wunder-haus-von-filmstar-james-woods-ueberlebt-braende-zr-93509364.html
tz,Havarierter Tanker vor Rügen wird Richtung Osten gezogen,https://www.tz.de/welt/rssfeed.rdf,04:04:00,https://www.tz.de/welt/havarierter-tanker-vor-ruegen-wird-richtung-osten-gezogen-zr-93509363.html
tz,Hoffen auf „verbesserte Therapien“: Krebsforscher machen wichtige Entdeckung unter Mikroskop,https://www.tz.de/welt/rssfeed.rdf,06:17:00,https://www.tz.de/welt/hoffen-auf-verbesserte-therapien-krebsforscher-machen-wichtige-entdeckung-unter-mikroskop-zr-93508949.html
tz,Amok-Alarm an Grundschule in Berlin ausgelöst – SEK holt Kinder aus Gebäude,https://www.tz.de/welt/rssfeed.rdf,04:43:00,https://www.tz.de/welt/gebaeude-amok-alarm-grundschule-berlin-ausgeloest-kinder-zr-93508784.html
tz,Bis zu –15 Grad: Frostiges Wochenende in Deutschland mit eisigen Nächten – Wo die Glättegefahr am größten ist,https://www.tz.de/welt/rssfeed.rdf,15:45:00,https://www.tz.de/welt/bis-zu-15-grad-frostiges-wochenende-in-deutschland-mit-eisigen-naechten-wo-die-glaettegefahr-am-groessten-ist-zr-93508690.html
tz,Frank Fussbroich nimmt 50 Kilo ab: „Ich fühle mich wie ein neuer Mensch“,https://www.tz.de/welt/rssfeed.rdf,19:09:00,https://www.tz.de/welt/neuer-mensch-frank-fussbroich-ich-fuehle-mich-wie-ein-zr-93508644.html
tz,"Nachtclub weist Gäste ohne deutschen Pass zurück – „unglücklich“, sagt der Betreiber",https://www.tz.de/welt/rssfeed.rdf,06:17:00,https://www.tz.de/welt/nachtclub-weist-gaeste-ohne-deutschen-pass-zurueck-ungluecklich-sagt-der-betreiber-zr-93508540.html
tz,Klarheit über Virustyp der Maul- und Klauenseuche,https://www.tz.de/rssfeed.rdf,20:41:00,https://www.tz.de/wissen/klarheit-ueber-virustyp-der-maul-und-klauenseuche-zr-93509996.html
tz,24 Jahre ein Paar: Darum ist „Traumschiff“-Star Daniel Morgenroth trotzdem nicht verheiratet,https://www.tz.de/rssfeed.rdf,20:12:00,https://www.tz.de/stars/verheiratet-24-jahre-ein-paar-darum-ist-traumschiff-star-daniel-morgenroth-trotzdem-nicht-zr-93509985.html
